1,,,,,,,,,,,,,,,,,
,,,,,,,1,6,,,,,,,,,
,,,,,,,1,6,,,,,,,,,
,,,12,3,1,1,1,6,2,2,2,2,,,,,
,,,12,3,1,1,1,6,2,2,2,2,,,,,
,,,12,3,,,1,6,,,,,2,,,,
,,,12,3,,,1,6,,4,4,,2,,,,
,,,12,3,,,1,6,,4,4,,2,,,11,
,,,12,3,,,1,6,,,,,2,,11,11,
13,10,10,12,3,1,1,1,6,2,2,2,2,2,11,11,11,11
13,10,10,12,3,1,1,1,6,2,2,2,2,2,11,11,11,11
,,,12,3,,,1,6,,,,,2,,11,11,
,,,12,3,,,1,6,,5,5,,2,,,11,
,,,12,3,,,1,6,,5,5,,2,,,,
,,,12,3,,,1,6,,,,,2,,,,
,,,12,3,1,1,1,6,2,2,2,2,,,,,
,,,12,3,1,1,1,6,2,2,2,2,,,,,
,,,,,,,1,6,,,,,,,,,
,,,,,,,1,6,,,,,,,,,
