1,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,,2,,,,,,
,,3,3,1,1,12,12,11,11,,,6,2,2,2,4,11,11,11
,10,3,3,1,1,12,12,11,11,,13,6,2,2,2,5,11,11,11
13,10,3,3,1,1,12,12,11,11,10,13,6,7,2,2,4,11,11,11
,10,3,3,1,1,12,12,11,11,,13,6,2,2,2,5,11,11,11
,,3,3,1,1,12,12,11,11,,,6,2,2,2,4,11,11,11
,,,3,,,,,,,,,,2,,,,,,
,,3,3,1,1,12,12,11,11,,,6,2,2,2,5,11,11,11
,10,3,3,1,1,12,12,11,11,,13,6,2,2,2,4,11,11,11
13,10,3,3,1,1,12,12,11,11,10,13,6,7,2,2,5,11,11,11
,10,3,3,1,1,12,12,11,11,,13,6,2,2,2,4,11,11,11
,,3,3,1,1,12,12,11,11,,,6,2,2,2,5,11,11,11
,,,3,,,,,,,,,,2,,,,,,
