1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,1,5,,,,,,11,11,11
,,,,,,,,,1,1,1,,,,,,11,11,11
,,13,,,,,,,1,1,1,,,,,,11,11,11
,,13,12,,,,,,1,1,1,,,,,,11,11,11
,,13,12,10,,3,3,3,1,1,1,,,2,2,2,11,11,11
,,,,,,3,3,3,1,1,1,,,2,2,2,11,11,11
,,,12,12,12,3,3,3,,,6,6,6,2,2,2,,,
,,,12,12,12,,,,,,6,6,6,,,,,,
13,12,12,12,12,12,,,4,5,,6,6,6,,,,7,2,2
13,12,12,,,,,,5,4,,,,,,,,2,2,2
13,12,12,12,12,12,,,4,5,,6,6,6,,,,7,2,2
,,,12,12,12,,,,,,6,6,6,,,,,,
,,,12,12,12,3,3,3,,,6,6,6,2,2,2,,,
,,,,,,3,3,3,1,1,1,,,2,2,2,11,11,11
,,13,12,10,,3,3,3,1,1,1,,,2,2,2,11,11,11
,,13,12,,,,,,1,1,1,,,,,,11,11,11
,,13,,,,,,,1,1,1,,,,,,11,11,11
,,,,,,,,,1,1,1,,,,,,11,11,11
,,,,,,,,,1,1,4,,,,,,11,11,11
