1,,,,,,,,,,,,,
12,3,,,6,6,,,2,2,,,11,11
12,3,,,6,6,,,2,2,,,11,11
12,3,,,6,6,,,2,2,,,11,11
12,3,,,6,6,,,2,2,,,11,11
12,3,,,6,6,,,2,2,,,11,11
12,3,,,6,6,,,2,2,,,11,11
12,3,,,6,6,,,2,2,,,11,11
12,3,,,6,6,,,2,2,,,11,11
12,3,10,10,6,6,10,10,2,2,4,5,11,11
12,3,10,10,6,6,10,10,2,2,4,5,11,11
12,3,10,10,6,6,10,10,2,2,4,5,11,11
12,3,10,10,6,6,10,10,2,2,4,5,11,11
12,3,,,6,6,,,2,2,,,11,11
12,3,,,6,6,,,2,2,,,11,11
12,3,,,6,6,,,2,2,,,11,11
12,3,,,6,6,,,2,2,,,11,11
12,3,,,6,6,,,2,2,,,11,11
12,3,,,6,6,,,2,2,,,11,11
12,3,,,6,6,,,2,2,,,11,11
12,3,,,6,6,,,2,2,,,11,11
