1,,,,,,,,,,,,,
,,,,,,,,1,6,2,2,,
,,,,,,,1,1,6,2,2,11,
,,,,,,3,1,1,6,2,2,11,11
,,,,,,3,1,1,6,2,2,11,11
,,,,,,3,1,1,6,2,2,11,11
,,,,,,3,1,1,6,2,2,11,11
,,12,12,3,3,,1,1,6,2,2,11,
,13,12,12,3,3,3,,1,6,2,2,,11
10,13,12,12,3,3,3,7,,,,,11,11
10,13,12,12,3,3,3,1,11,11,11,11,11,11
10,13,12,12,3,3,3,1,11,11,11,11,11,11
10,13,12,12,3,3,3,7,,,,,11,11
,13,12,12,3,3,3,,1,6,2,2,,11
,,12,12,3,3,,1,1,6,2,2,11,
,,,,,,3,1,1,6,2,2,11,11
,,,,,,3,1,1,6,2,2,11,11
,,,,,,3,1,1,6,2,2,11,11
,,,,,,3,1,1,6,2,2,11,11
,,,,,,,1,1,6,2,2,11,
,,,,,,,,1,6,2,2,,
