1,,,,,,,,,,,
,,,,,3,12,3,12,11,11,11
13,1,1,1,1,3,12,3,12,11,11,11
1,1,1,1,1,3,12,3,12,11,11,11
,,,,,3,12,3,12,11,11,11
1,1,1,1,1,3,12,3,12,11,11,11
1,1,1,1,1,3,12,3,12,11,11,11
,,,,,3,12,3,12,,,
10,1,1,1,1,3,12,3,12,,,
1,1,1,1,1,3,12,3,12,,,7
10,1,1,1,1,3,12,3,12,,,7
1,1,1,1,1,3,12,3,12,,,7
10,1,1,1,1,3,12,3,12,,,
,,,,,3,12,3,12,,,
1,1,1,1,1,3,12,3,12,11,11,11
1,1,1,1,1,3,12,3,12,11,11,11
,,,,,3,12,3,12,11,11,11
1,1,1,1,1,3,12,3,12,11,11,11
13,1,1,1,1,3,12,3,12,11,11,11
,,,,,3,12,3,12,11,11,11
