1,,,,,,,,,,,,,,,
11,11,11,,,,12,1,1,,,,4,1,2,2
11,,,,,,12,1,1,,,4,,1,2,2
11,,,,,,12,1,1,,4,,,1,2,2
11,,,,,13,12,1,1,4,,,6,1,2,2
11,,,,13,13,12,1,4,,,1,6,1,2,2
11,,,,13,13,12,1,1,,,1,6,1,2,2
11,,,,,,,,,,,,,,,
11,,,3,3,3,1,1,,,1,1,6,6,6,
11,,13,3,3,3,1,1,,7,1,1,6,6,6,
11,10,13,3,3,3,1,1,,7,1,1,6,6,6,
11,,13,3,3,3,1,1,,7,1,1,6,6,6,
11,,,3,3,3,1,1,,,1,1,6,6,6,
11,,,,,,,,,,,,,,,
11,,,,13,13,12,1,1,,,1,6,1,2,2
11,,,,13,13,12,1,5,,,1,6,1,2,2
11,,,,,13,12,1,1,5,,,6,1,2,2
11,,,,,,12,1,1,,5,,,1,2,2
11,,,,,,12,1,1,,,5,,1,2,2
11,11,11,,,,12,1,1,,,,5,1,2,2
