1,,,,,,,,,,,,,
,,,,11,3,12,1,1,1,1,1,6,2
,,,11,11,3,12,1,1,1,1,1,6,2
,,11,11,11,,12,,,,,1,6,2
,11,11,11,,3,12,,,,,1,6,2
11,11,11,,11,3,12,,,,,1,6,2
11,11,,11,11,3,12,1,,,,1,6,2
11,,11,11,11,3,12,1,1,5,4,1,6,2
,,,11,11,3,12,1,1,5,4,1,6,2
,,,,11,3,12,1,1,5,4,1,6,2
,,,,11,3,12,7,7,7,7,7,6,2
,,,,11,3,12,1,1,4,5,1,6,2
,,,11,11,3,12,1,1,4,5,1,6,2
11,,11,11,11,3,12,1,1,4,5,1,6,2
11,11,,11,11,3,12,1,,,,1,6,2
11,11,11,,11,3,12,,,,,1,6,2
,11,11,11,,3,12,,,,,1,6,2
,,11,11,11,,12,,,,,1,6,2
,,,11,11,3,12,1,1,1,1,1,6,2
,,,,11,3,12,1,1,1,1,1,6,2
