1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,1,2,2,,,,
,,,,,,,,,,12,1,1,2,2,11,,,
,,,,,,,,,11,12,1,1,2,2,11,5,,
,,,,,,,,,11,12,1,1,2,2,11,5,,
,,,,,,,,,11,12,1,1,2,2,11,5,,
,,,,,,,,,11,12,1,1,2,2,11,5,,
,,3,3,6,6,,11,11,,12,1,1,2,2,11,,11,11
,12,3,3,6,6,11,,11,11,,13,1,2,2,,11,11,
10,12,3,3,6,6,11,11,,11,11,,,,,11,11,,
10,12,3,3,6,6,11,11,,,,,,,,,,,
10,12,3,3,6,6,11,11,,,,,,,,,,,
10,12,3,3,6,6,11,11,,11,11,,,,,11,11,,
,12,3,3,6,6,11,,11,11,,13,1,2,2,,11,11,
,,3,3,6,6,,11,11,,12,1,1,2,2,11,,11,11
,,,,,,,,,11,12,1,1,2,2,11,4,,
,,,,,,,,,11,12,1,1,2,2,11,4,,
,,,,,,,,,11,12,1,1,2,2,11,4,,
,,,,,,,,,11,12,1,1,2,2,11,4,,
,,,,,,,,,,12,1,1,2,2,11,,,
,,,,,,,,,,,1,1,2,2,,,,
