1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,11,11,11
,,,,,,,,,,,,2,11,11,11
,,,,,,,10,,,,2,2,11,11,11
,,,,,,10,6,,,12,2,2,11,11,11
,,,,,10,6,6,,2,12,2,2,11,11,11
,,,,10,6,6,6,2,2,12,2,2,11,11,11
,,,10,6,6,6,6,2,2,12,2,2,11,11,11
,,10,6,6,6,6,6,2,2,12,2,2,11,11,11
,10,6,6,6,6,6,6,2,2,12,2,2,11,11,11
10,6,6,6,6,6,6,6,2,2,12,2,2,11,11,11
,10,6,6,6,6,6,6,2,2,12,2,2,11,11,11
,,10,6,6,6,6,6,2,2,12,2,2,11,11,11
,,,10,6,6,6,6,2,2,12,2,2,11,11,11
,,,,10,6,6,6,2,2,12,2,2,11,11,11
,,,,,10,6,6,,2,12,2,2,11,11,11
,,,,,,10,6,,,12,2,2,11,11,11
,,,,,,,10,,,,2,2,11,11,11
,,,,,,,,,,,,2,11,11,11
,,,,,,,,,,,,,11,11,11
