1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,
,,,,,,,,,,,,3,12,6,2,2,11,11,11
,,,,,,,,,,,3,12,4,6,2,2,11,11,11
,,,,,,,,,,7,12,10,4,6,2,2,11,11,11
,,,,,10,,,,,,3,12,4,6,2,2,11,11,11
,,,,10,12,,,,,,,3,12,6,2,2,11,11,11
,,,10,12,1,1,1,1,6,11,11,11,11,,,,,,
,,10,12,1,1,1,1,1,6,11,11,11,11,,,,,,
,10,12,1,1,1,1,1,1,6,11,11,11,11,,,,,,
10,12,13,1,1,1,1,1,1,7,11,11,11,11,,,,,,
,10,12,1,1,1,1,1,1,6,11,11,11,11,,,,,,
,,10,12,1,1,1,1,1,6,11,11,11,11,,,,,,
,,,10,12,1,1,1,1,6,11,11,11,11,,,,,,
,,,,10,12,,,,,,,3,12,6,2,2,11,11,11
,,,,,10,,,,,,3,12,5,6,2,2,11,11,11
,,,,,,,,,,7,12,10,5,6,2,2,11,11,11
,,,,,,,,,,,3,12,5,6,2,2,11,11,11
,,,,,,,,,,,,3,12,6,2,2,11,11,11
,,,,,,,,,,,,,3,,,,,,
