1,,,,,,,,,,,,,,,,,,,
,,,,,3,1,6,,,,,,11,11,11,,,,
3,1,6,,,3,1,6,,,,,,11,11,11,,,,
3,1,6,,,3,1,6,,12,12,12,,11,11,11,,,,
3,1,6,,,,,,,12,12,12,,,,,,,,
,,,,,,,,,12,12,12,,11,11,11,,,,
,,3,1,6,,3,1,6,,,,,11,11,11,,12,12,12
,,3,1,6,,3,1,6,,,,,11,11,11,,12,12,12
,,3,1,6,,3,1,6,,,,,,,,,12,12,12
3,1,6,,3,1,6,,,,7,7,7,,,12,12,12,,
3,1,6,,3,1,6,,,,7,7,7,,,12,12,12,,
3,1,6,,3,1,6,,,,7,7,7,,,12,12,12,,
,,3,1,6,,3,1,6,,,,,,,,,12,12,12
,,3,1,6,,3,1,6,,,,,11,11,11,,12,12,12
,,3,1,6,,3,1,6,,,,,11,11,11,,12,12,12
,,,,,,,,,12,12,12,,11,11,11,,,,
3,1,6,,,,,,,12,12,12,,,,,,,,
3,1,6,,,3,1,6,,12,12,12,,11,11,11,,,,
3,1,6,,,3,1,6,,,,,,11,11,11,,,,
,,,,,3,1,6,,,,,,11,11,11,,,,
