1,,,,,,,,,,,,,,,,
,,,,6,6,6,6,2,2,2,2,2,1,,,
,,,6,6,6,6,6,2,2,2,2,2,1,1,,
,,1,6,6,,6,6,,,,,,1,1,1,
,3,3,3,,,3,,,,,,,1,1,1,1
1,3,3,3,,3,3,,,,,,4,1,,1,1
1,3,3,3,3,3,3,1,4,,,2,1,,,1,1
1,3,3,3,3,3,3,5,1,2,2,2,,1,1,1,1
1,3,3,3,3,3,3,3,1,2,2,2,1,1,1,1,1
,1,,3,3,,3,3,5,2,2,2,1,1,,1,1
,1,1,3,,,,3,5,2,2,2,5,4,,1,1
1,1,,3,3,,3,3,1,2,2,2,1,1,1,1,1
1,3,3,3,3,3,3,3,1,2,2,2,1,1,1,1,1
1,3,3,3,3,3,3,5,4,,,2,,,,1,1
1,3,3,3,3,3,3,,,,,1,1,,,1,1
,3,3,3,,,1,,,,,,4,1,,1,1
,,1,6,6,,6,6,,,,,,1,1,1,
,,,6,6,6,6,6,2,2,2,2,2,1,1,,
,,,,6,6,6,6,2,2,2,2,2,1,,,
