1,,,,,,,,,,,,,,,,,,,
,,,,,,,6,6,,6,6,6,6,,,,,11,11
3,3,3,3,,,10,6,6,,6,6,6,6,2,2,,,11,11
1,1,1,3,10,,,6,6,,,2,2,2,6,,2,,11,11
,,1,3,3,3,,,,,2,3,3,2,6,10,,2,11,11
,,1,1,1,3,,,,2,3,3,3,2,6,,,2,11,11
6,10,,,1,3,,,1,2,3,3,3,2,6,10,,2,11,11
6,6,10,,1,3,,1,1,2,3,3,3,2,6,,,2,11,11
,6,6,,,,1,1,1,2,3,3,3,2,6,6,10,2,11,11
10,,6,,10,1,1,1,1,4,4,4,3,2,5,6,,2,11,11
,,,,1,5,1,1,1,4,4,4,3,2,5,5,5,2,11,11
10,,10,3,5,5,1,1,1,4,4,4,3,2,5,5,5,2,11,11
,,,,1,5,1,1,1,4,4,4,3,2,5,5,5,2,11,11
10,,6,,10,1,1,1,1,2,3,3,3,2,5,6,,2,11,11
,6,6,,,,1,1,1,2,3,3,4,2,6,6,10,2,11,11
6,6,10,,3,1,,1,1,2,3,3,4,2,6,,,2,11,11
6,10,,,3,1,,,1,2,3,3,4,2,6,10,,2,11,11
,,,,3,1,,,,,2,3,3,2,6,,,2,11,11
,,3,3,3,1,,6,6,,,2,2,2,6,10,2,,11,11
3,3,3,1,1,1,10,6,6,,6,6,6,6,2,2,,,11,11
1,1,1,10,,,,6,6,,6,6,6,6,,,,,11,11
