1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,47,47,47,47,47,
,,,,,,,,,,,,,,,47,47,47,47,47,
,,,46,47,47,47,47,47,7,7,11,11,25,25,33,33,33,47,47,
,,,46,47,47,47,47,47,7,7,11,11,25,25,33,33,33,47,47,
,,,46,47,47,47,47,47,7,7,11,11,25,25,33,33,33,47,47,
,,,46,47,47,47,47,47,7,7,11,11,25,25,33,33,33,47,47,
,,,46,47,47,47,47,47,7,7,11,11,25,25,33,33,33,47,47,
49,49,49,46,46,46,44,44,34,34,34,34,34,34,34,34,34,34,7,7,
49,49,49,46,46,46,44,44,34,34,34,34,34,34,34,34,34,34,7,7,
49,49,49,46,46,46,44,44,34,34,34,34,34,34,34,34,34,34,7,7,
49,49,49,46,46,46,44,44,34,34,34,34,34,34,34,34,34,34,7,7,
49,49,49,46,46,46,44,44,34,34,34,34,34,34,34,34,34,34,7,7,
,,,46,47,47,47,47,47,7,7,11,11,25,25,33,33,33,47,47,
,,,46,47,47,47,47,47,7,7,11,11,25,25,33,33,33,47,47,
,,,46,47,47,47,47,47,7,7,11,11,25,25,33,33,33,47,47,
,,,46,47,47,47,47,47,7,7,11,11,25,25,33,33,33,47,47,
,,,46,47,47,47,47,47,7,7,11,11,25,25,33,33,33,47,47,
,,,,,,,,,,,,,,,47,47,47,47,47,
,,,,,,,,,,,,,,,47,47,47,47,47,
