1,,,,,,,,,,,,,,
48,48,48,48,6,6,6,6,7,7,44,,47,25,11
48,48,48,48,6,6,6,6,7,7,44,,47,25,11
48,48,48,48,6,6,6,6,7,7,44,,47,25,11
48,48,48,48,6,6,6,6,7,7,44,,47,25,11
48,48,48,48,6,6,6,6,7,7,44,,47,25,11
1,1,1,1,2,2,2,2,4,4,44,47,47,25,11
1,1,1,1,2,2,2,2,4,4,44,47,47,25,11
1,1,1,1,2,2,2,2,4,4,44,47,47,25,11
1,1,1,1,2,2,2,2,4,4,44,47,47,25,11
1,1,1,1,2,2,2,2,4,4,44,47,47,25,11
1,1,1,1,2,2,2,2,5,5,44,47,47,25,11
1,1,1,1,2,2,2,2,5,5,44,47,47,25,11
1,1,1,1,2,2,2,2,5,5,44,47,47,25,11
1,1,1,1,2,2,2,2,5,5,44,47,47,25,11
1,1,1,1,2,2,2,2,5,5,44,47,47,25,11
49,49,49,49,6,6,6,6,7,7,44,,47,25,11
49,49,49,49,6,6,6,6,7,7,44,,47,25,11
49,49,49,49,6,6,6,6,7,7,44,,47,25,11
49,49,49,49,6,6,6,6,7,7,44,,47,25,11
49,49,49,49,6,6,6,6,7,7,44,,47,25,11
