1,,,,,,,,,,,,,,,,,,,
1,2,1,,10,,10,,1,2,,,6,6,4,,3,3,3,3
,1,2,1,,,,1,2,,11,6,6,4,,3,3,5,5,5
10,,1,2,1,1,1,2,,,6,6,4,11,3,3,5,,11,
,1,2,1,2,2,2,,11,6,6,4,,3,3,3,5,11,,11
1,2,1,2,2,12,,,6,6,4,,11,3,3,5,,10,11,10
,1,2,2,2,,11,6,6,4,,11,,3,3,5,,11,,11
1,1,2,2,2,,6,6,6,4,10,,3,3,3,5,11,10,11,
,1,1,2,2,10,,6,6,12,,12,3,3,3,5,,11,,11
10,,1,1,2,2,2,2,6,6,6,6,3,3,3,3,,11,,11
,,,1,1,1,1,2,6,6,6,6,3,3,3,3,,11,,11
,,,1,1,1,1,2,6,6,6,6,3,3,3,3,11,,11,
10,,1,1,2,2,2,2,6,6,6,6,3,3,3,3,,11,,11
,1,1,2,,,,6,6,4,,12,3,3,3,5,,10,11,10
1,1,2,2,2,10,6,6,6,4,10,,,3,3,5,,11,,11
,1,2,2,2,,11,6,6,4,,11,,10,3,3,5,,,
1,2,1,2,2,12,,,6,6,4,,11,,,3,3,5,5,5
,1,2,1,2,2,2,,11,6,6,4,,11,,10,3,3,3,3
10,,1,2,1,1,1,2,,,6,6,4,,11,,,11,,11
,1,2,1,,,,1,2,,11,6,6,4,,,11,,11,
1,2,1,,10,,10,,1,,,,6,6,4,,,11,,11
