1,,,,,,,,,,,,,,,,,,,
11,11,11,11,,6,6,6,6,6,6,6,6,,11,,,,,
11,11,11,,3,,6,6,6,6,6,6,,3,,11,,,,
11,11,,3,1,3,,6,10,10,6,,3,2,3,,11,,,
11,,3,1,1,6,3,,6,6,,3,4,2,2,3,,11,,
,3,1,1,1,6,5,3,,,3,6,4,2,2,2,3,,11,
3,1,1,1,1,6,5,5,3,3,6,6,4,10,2,2,2,3,,6
,3,1,1,1,6,5,1,1,2,3,6,4,2,2,2,3,,2,6
6,,3,1,1,6,1,4,1,2,2,3,4,2,2,3,,2,6,6
,6,,3,1,1,1,4,1,2,2,10,3,2,3,,2,2,2,6
,6,6,,1,1,1,4,1,2,2,5,5,3,,2,10,2,10,2
,6,,3,1,1,1,4,1,2,2,10,3,2,3,,2,2,2,6
6,,3,1,1,6,1,4,1,2,2,3,4,2,2,3,,2,6,6
,3,1,1,1,6,5,1,1,2,3,6,4,2,2,2,3,,2,6
3,1,1,1,1,6,5,5,3,3,6,6,4,10,2,2,2,3,,6
,3,1,1,1,6,5,3,,,3,6,4,2,2,2,3,,11,
11,,3,1,1,6,3,,6,6,,3,4,2,2,3,,11,,
11,11,,3,1,3,,6,10,10,6,,3,2,3,,11,,,
11,11,11,,3,,6,6,6,6,6,6,,3,,11,,,,
11,11,11,11,,6,6,6,6,6,6,6,6,,11,,,,,
,,,,,,,,,,,,,,,,,,,
