1,,,,,,,,,,,,,,,,,,,,
47,47,47,47,24,24,6,6,6,6,6,,,,,,,,25,25,
47,47,47,47,24,24,6,6,6,6,6,,,,,,,,25,25,
47,47,47,47,24,24,6,6,6,6,6,,,,,,,,25,25,
47,47,47,47,24,24,6,6,6,6,6,,,,,,,,25,25,
47,47,47,47,24,24,6,6,6,6,6,,,,,,,,25,25,
9,47,47,47,44,24,6,6,6,6,6,,,,,,,,25,25,
9,47,47,47,44,24,6,6,6,6,6,,,,,,,,25,25,
9,47,47,47,44,24,6,6,6,6,6,,,,,,,32,25,25,
9,47,47,47,44,24,6,6,6,6,6,32,32,32,32,32,32,32,25,25,
9,47,47,47,44,24,6,6,6,6,6,32,32,32,32,32,32,32,25,25,
9,47,47,47,44,24,6,6,6,6,6,32,32,32,32,32,32,32,25,25,
9,47,47,47,44,24,6,6,6,6,6,32,32,32,32,32,32,32,25,25,
9,47,47,47,44,24,6,6,6,6,6,,,,,,,32,25,25,
9,47,47,47,44,24,6,6,6,6,6,,,,,,,,25,25,
9,47,47,47,44,24,6,6,6,6,6,,,,,,,,25,25,
47,47,47,47,44,24,6,6,6,6,6,,,,,,,,25,25,
47,47,47,47,44,24,6,6,6,6,6,,,,,,,,25,25,
47,47,47,47,44,24,6,6,6,6,6,,,,,,,,25,25,
47,47,47,47,44,24,6,6,6,6,6,,,,,,,,25,25,
47,47,47,47,44,24,6,6,6,6,6,,,,,,,,25,25,
