1,,,,,,,,,,,,,,,,,,
,,,,49,49,,,,34,34,34,34,34,34,34,34,34,34
,,,,49,49,,,,34,34,34,34,34,34,34,34,34,34
,,,,49,49,,,,34,34,34,34,34,34,34,34,34,34
,,,,49,49,,,,34,34,34,34,34,34,34,34,34,34
,,,,49,49,,,,34,34,34,34,34,34,34,34,34,34
,,,,25,32,32,33,33,34,34,34,34,34,34,34,34,34,34
,,,25,25,32,32,33,33,34,34,34,34,34,34,34,34,34,34
,,25,25,25,32,32,33,33,34,34,34,34,34,34,34,34,34,34
,25,25,25,25,32,32,33,33,34,34,34,34,34,34,34,34,34,34
25,25,25,25,25,32,32,33,33,34,34,34,34,34,34,34,34,34,34
25,25,25,25,25,32,32,33,33,47,47,47,47,47,47,47,47,47,47
,25,25,25,25,32,32,33,33,47,47,47,47,47,47,47,47,47,47
,,25,25,25,32,32,33,33,47,47,47,47,47,47,47,47,47,47
,,,25,25,32,32,33,33,47,47,47,47,47,47,47,47,47,47
,,,,25,32,32,33,33,47,47,47,47,47,47,47,47,47,47
,,,,49,49,,,,47,47,47,47,47,47,47,47,47,47
,,,,49,49,,,,47,47,47,47,47,47,47,47,47,47
,,,,49,49,,,,47,47,47,47,47,47,47,47,47,47
,,,,49,49,,,,47,47,47,47,47,47,47,47,47,47
,,,,49,49,,,,47,47,47,47,47,47,47,47,47,47
