1,,,,,,,,,,,,,,,,,,
,,,,,,,,,7,,,,,,,,,
,,,,,,,,,,,,,,,24,,24,
,,,,,,,,,12,,,,,,,,,
,,,,,10,,,,12,,,,10,,24,,24,
,,,,12,,,,,12,,,,,12,,,,
,,,,,12,,,,12,,,,12,,,,24,
,,,10,,,12,7,,12,,7,12,,,10,,,
,,,,,,,12,,12,,12,,,,,,24,
,,,,,,7,,12,12,12,,7,,,,,,
12,,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,10
,,,,,,7,,12,12,12,,7,,,,,,
,,,,,,,12,,12,,12,,,,,,24,
,,,10,,,12,7,,12,,7,12,,,10,,,
,,,,,12,,,,12,,,,12,,,,24,
,,,,12,,,,,12,,,,,12,,,,
,,,,,10,,,,12,,,,10,,24,,24,
,,,,,,,,,12,,,,,,,,,
,,,,,,,,,,,,,,,24,,24,
,,,,,,,,,7,,,,,,,,,
