1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6,6,6
,,,,,,,,,7,7,7,7,7,,,6,6,6
,,,,7,7,7,7,7,12,12,12,12,12,,,6,6,6
,,,,12,12,12,12,12,32,32,32,32,32,,,6,6,6
,,,,12,12,12,12,12,32,32,32,32,32,,,6,6,6
25,25,25,25,25,25,25,25,25,25,42,42,33,33,25,11,6,6,6
46,46,46,46,46,46,46,46,46,46,42,42,33,33,25,11,6,6,6
47,47,47,47,47,47,47,47,47,47,42,42,33,33,25,11,6,6,6
47,47,47,47,47,47,47,47,47,47,42,42,33,33,25,11,6,6,6
47,47,47,47,47,47,47,47,47,47,42,42,33,33,25,11,6,6,6
47,47,47,47,47,47,47,47,47,47,42,42,33,33,25,11,6,6,6
47,47,47,47,47,47,47,47,47,47,42,42,33,33,25,11,6,6,6
47,47,47,47,47,47,47,47,47,47,42,42,33,33,25,11,6,6,6
10,10,10,10,10,10,10,10,10,10,42,42,33,33,25,11,6,6,6
25,25,25,25,25,25,25,25,25,25,42,42,33,33,25,11,6,6,6
,,,,12,12,12,12,12,32,32,32,32,32,,,6,6,6
,,,,7,7,7,7,7,32,32,32,32,32,,,6,6,6
,,,,7,7,7,7,7,12,12,12,12,12,,,6,6,6
,,,,,,,,,7,7,7,7,7,,,6,6,6
,,,,,,,,,,,,,,,,6,6,6
