1,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,11,11,,,,,,,,,
,,,,,,11,11,11,11,11,11,,,,,,,,
,,,,,,,,11,11,11,,,,3,3,3,3,3,
,11,11,11,,,,,,,,,,3,3,3,7,3,,
11,11,11,,,,,,,,,,,,3,3,3,3,3,
,11,11,11,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,11,11,3,3,3,,,,3,3,3,3,3,,
,,,,11,11,3,3,3,,,,3,3,7,7,7,,,
,,,,,11,11,3,3,3,,,,3,3,3,3,3,,
,,,,,,,,,,,,,,,,,,,
,11,11,11,,,,,,,,,,,,,,,,
11,11,11,,,,,,,,,,,,3,3,3,3,3,
,11,11,11,,,,,,,,,,3,3,3,7,3,,
,,,,,,,,11,11,11,,,,3,3,3,3,3,
,,,,,,11,11,11,11,11,11,,,,,,,,
,,,,,,,,11,11,11,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
