1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3,3,3,3
,,,,,,,,,,,,,,3,6,2,2
,,,,,,,,,,,,,,3,6,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,2,5
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,5
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,6,2,5
,,,,,,,,,,,,,,3,6,2,2
,,,,,,,,,,,,,,3,6,2,2
,,,,,,,,,,,,,,3,6,2,2
,,,,,,,,,,,,,,3,6,2,2
,,,,,,,,,,,,,,3,6,2,2
,,,,,,,,,,,,,,3,6,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,6,2,4
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,4
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,6,2,4
,,,,,,,,,,,,,,3,6,2,2
,,,,,,,,,,,,,,3,6,2,2
,,,,,,,,,,,,,,3,3,3,3
