1,,,,,,,,,,,,,,,
49,49,3,3,3,3,3,3,3,3,3,3,3,3,11,11
49,49,3,3,3,3,3,3,3,3,3,3,3,3,11,11
49,49,3,3,3,3,3,3,3,3,3,3,3,3,11,11
49,49,3,3,3,3,3,3,3,3,3,3,3,3,11,11
49,49,3,3,3,3,3,3,3,3,3,3,3,3,11,11
49,49,2,2,2,2,33,33,33,33,7,,,,11,11
49,49,2,2,2,2,33,33,33,33,7,,,,11,11
49,49,2,2,2,2,33,33,33,33,7,,,,11,11
49,49,2,2,2,2,33,33,33,33,7,,,,11,11
49,49,2,2,2,2,33,33,33,33,7,,,,11,11
49,49,2,2,2,2,33,33,33,33,7,,,,25,25
49,49,2,2,2,2,33,33,33,33,7,,,,25,25
49,49,2,2,2,2,33,33,33,33,7,,,,25,25
49,49,2,2,2,2,33,33,33,33,7,,,,25,25
49,49,2,2,2,2,33,33,33,33,7,,,,25,25
49,49,3,3,3,3,3,3,3,3,3,3,3,3,25,25
49,49,3,3,3,3,3,3,3,3,3,3,3,3,25,25
49,49,3,3,3,3,3,3,3,3,3,3,3,3,25,25
49,49,3,3,3,3,3,3,3,3,3,3,3,3,25,25
49,49,3,3,3,3,3,3,3,3,3,3,3,3,25,25
