1,,,,,,,,,,,,,,
3,3,3,46,46,33,33,,2,2,2,25,25,1,1
3,3,3,46,46,33,33,,2,2,2,25,25,1,1
3,3,3,46,46,33,33,,2,2,2,25,25,1,1
3,3,3,46,46,33,33,,2,2,2,25,25,1,1
3,3,3,46,46,33,33,,2,2,2,25,25,1,1
3,3,3,46,46,33,33,12,2,2,2,25,25,1,1
3,3,3,46,46,33,33,12,2,2,2,25,25,1,1
3,3,3,46,46,33,33,12,2,2,2,25,25,1,1
3,3,3,46,46,33,33,12,2,2,2,25,25,1,1
3,3,3,46,46,33,33,12,2,2,2,25,25,1,1
3,3,3,46,46,44,44,12,2,2,2,25,25,1,1
3,3,3,46,46,44,44,12,2,2,2,25,25,1,1
3,3,3,46,46,44,44,12,2,2,2,25,25,1,1
3,3,3,46,46,44,44,12,2,2,2,25,25,1,1
3,3,3,46,46,44,44,12,2,2,2,25,25,1,1
3,3,3,46,46,44,44,,2,2,2,25,25,1,1
3,3,3,46,46,44,44,,2,2,2,25,25,1,1
3,3,3,46,46,44,44,,2,2,2,25,25,1,1
3,3,3,46,46,44,44,,2,2,2,25,25,1,1
3,3,3,46,46,44,44,,2,2,2,25,25,1,1
