1,,,,,,,,,,,,,,
10,10,1,1,1,1,1,1,47,47,,25,25,25,25
10,10,1,1,1,1,1,1,47,47,,25,25,25,25
10,10,1,1,1,1,1,1,47,47,,25,25,25,25
10,10,1,1,1,1,1,1,47,47,,25,25,25,25
10,10,1,1,1,1,1,1,47,47,,25,25,25,25
10,10,1,1,1,1,1,1,47,47,47,5,5,5,5
10,10,1,1,1,1,1,1,47,47,47,5,5,5,5
10,10,1,1,1,1,1,1,47,47,47,5,5,5,5
10,10,1,1,1,1,1,1,47,47,47,5,5,5,5
10,10,1,1,1,1,1,1,47,47,47,5,5,5,5
10,10,1,1,1,1,1,1,47,47,47,5,5,5,5
10,10,1,1,1,1,1,1,47,47,47,5,5,5,5
10,10,1,1,1,1,1,1,47,47,47,5,5,5,5
10,10,1,1,1,1,1,1,47,47,47,5,5,5,5
10,10,1,1,1,1,1,1,47,47,47,5,5,5,5
10,10,1,1,1,1,1,1,47,47,,25,25,25,25
10,10,1,1,1,1,1,1,47,47,,25,25,25,25
10,10,1,1,1,1,1,1,47,47,,25,25,25,25
10,10,1,1,1,1,1,1,47,47,,25,25,25,25
10,10,1,1,1,1,1,1,47,47,,25,25,25,25
