1,,,,,,,,,,,,,,,,
,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,7,7,7,7,7,7,7,7,7,7,6,6,6,6
,,,24,24,24,24,24,24,24,24,24,24,12,6,6,6
,,,24,24,24,24,24,24,24,24,24,24,12,12,12,12
,,,43,43,43,43,43,6,6,6,6,,12,12,12,12
,,,12,48,47,47,47,47,47,47,47,47,25,25,25,25
,,,49,48,47,47,47,47,47,47,47,47,25,25,25,25
,,49,49,48,47,47,47,47,47,47,47,47,25,25,25,25
,49,49,49,48,47,47,47,47,47,47,47,47,25,25,25,25
49,49,49,49,48,47,47,47,47,47,47,47,47,25,25,25,25
49,49,49,49,48,47,47,47,47,47,47,47,47,25,25,25,25
,49,49,49,48,47,47,47,47,47,47,47,47,25,25,25,25
,,49,49,48,47,47,47,47,47,47,47,47,25,25,25,25
,,,49,48,47,47,47,47,47,47,47,47,25,25,25,25
,,,12,48,47,47,47,47,47,47,47,47,25,25,25,25
,,,43,43,43,43,43,6,6,6,6,,12,12,12,12
,,,24,24,24,24,24,24,24,24,24,24,12,12,12,12
,,,24,24,24,24,24,24,24,24,24,24,12,6,6,6
,,,7,7,7,7,7,7,7,7,7,7,6,6,6,6
,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6
